Country,Country_Code,1/1/1970,1/1/1971,1/1/1972,1/1/1973,1/1/1974,1/1/1975,1/1/1976,1/1/1977,1/1/1978,1/1/1979,1/1/1980,1/1/1981,1/1/1982,1/1/1983,1/1/1984,1/1/1985,1/1/1986,1/1/1987,1/1/1988,1/1/1989,1/1/1990,1/1/1991,1/1/1992,1/1/1993,1/1/1994,1/1/1995,1/1/1996,1/1/1997,1/1/1998,1/1/1999,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018
North Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,3853.897863,3621.390887,3391.539296,3145.541061,3093.862791,3056.98515,3083.587747,3112.105269,3197.333287,3315.735917,3448.812931,3329.89967,3369.598581,3436.946226,3591.269812,3755.024757,3942.452375,4193.00227,4418.406699,4398.889003,4542.899717,4645.281601,4620.110106,4751.137985,4919.5399,5105.402235,5247.250784,5256.711049,5394.288478
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24927.1129,25233.22737,24745.64738,21880.39493,20613.22409,19460.43224,17494.33028,14542.38617,14804.24673,13655.08519,13652.9197,13860.75121,14249.98704,14626.25237,18630.8248,23239.69929,18577.79149
Norway,NOR,32244.64638,33835.57348,35367.69116,36713.16921,37917.47862,39576.18779,41685.68557,43236.98884,44738.86922,46536.30155,48504.46082,49110.42516,49045.54391,50825.48776,53749.75372,56565.02047,58641.97873,59391.57409,58922.10988,59288.6384,60226.71564,61789.41067,63629.68868,65051.79767,67952.42733,70409.71935,73575.99282,77045.295,78597.91584,79632.81994,81653.34488,82926.76868,83673.63733,83941.36558,86759.14196,88432.62012,89828.42517,91565.7334,90862.39971,88174.15788,87693.79007,87413.177,88604.57465,88444.89498,89175.49955,90029.35564,90195.96368,91549.03787,92077.57431
Oman,OMN,9239.157965,9009.523763,9545.371971,7874.534715,8415.401086,9995.550559,11458.98439,10978.18838,10009.72484,9878.491513,9907.356702,10967.25683,11576.72627,12801.88028,14210.61162,15472.94333,15148.19594,14097.13077,14419.39524,15531.16329,14903.15054,15127.15866,15659.79601,15894.22409,15923.78006,16295.77915,16549.06184,17445.31257,17889.5621,17843.14657,18698.54815,19306.94827,18768.19332,17874.48796,17666.03985,17632.06608,18078.88115,18340.91929,19168.13103,19454.22382,19281.16563,17837.67185,18125.75634,17577.7638,16884.28341,16689.83322,16692.256,16067.03701,15796.77309
Pakistan,PAK,472.0173394,461.5860129,452.8507397,471.6450586,474.7496928,480.5943346,490.5627823,494.6660871,518.1298373,520.7848961,555.652454,580.1455407,597.6916216,617.0936503,627.0734615,652.8892489,666.933629,687.7876274,717.5725288,730.6548521,741.0040672,756.5089235,792.3981558,784.4577834,791.6265761,807.9932655,823.388647,808.2077739,805.5493924,812.2556105,824.7328639,820.1403132,826.3684199,846.3618169,888.0112856,934.3919471,969.6218016,993.5516737,987.8456798,993.3829437,987.409723,992.8781395,1006.073289,1028.441086,1054.227974,1081.294366,1117.517555,1155.36336,1197.842744
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9277.216551,9728.469506,9936.058652,9570.43697,10017.20654,10469.0379,10439.72076,10790.88157,10435.53187,10006.56523,10219.9276,10844.02071,11109.42941,10973.47178,11440.39105,12565.22273,12622.45457,12121.64468,12260.22334
Panama,PAN,3434.728399,3659.496432,3720.793084,3812.689536,3800.647997,3764.702942,3728.566828,3674.150124,3934.139553,4011.9484,4428.695181,4723.081995,4861.03806,4537.459919,4556.330919,4676.20666,4737.794872,4552.223575,3859.42581,3837.296829,4061.588833,4352.257557,4612.623973,4765.077946,4801.313147,4786.355577,4880.750151,5091.18307,5355.359255,5454.855725,5493.64237,5419.109419,5435.169383,5558.096499,5865.941644,6172.866331,6585.456941,7242.248874,7814.537245,7772.388756,8082.028459,8841.561277,9541.060213,10027.34623,10357.50418,10765.91029,11108.5907,11501.15728,11723.93056
Papua New Guinea,PNG,1592.806135,1653.617626,1705.86892,1774.047719,1776.472787,1717.719569,1618.342922,1590.939089,1683.141082,1669.886792,1588.888915,1542.664419,1506.873037,1514.056281,1469.046421,1488.474627,1519.07114,1522.582643,1528.853871,1471.146419,1393.186263,1490.760346,1658.378602,1915.549641,1982.658115,1872.118109,1968.630714,1845.783983,1733.216429,1723.869455,1643.084126,1606.195503,1571.039332,1572.863074,1582.388263,1646.343986,1695.727312,1784.852979,1736.786308,1811.130399,1949.352517,1928.292678,1976.098782,2010.225861,2237.003857,2400.503936,2448.861248,2485.536737,2416.93308
Paraguay,PRY,1726.928467,1778.647754,1851.844174,1940.555888,2053.484263,2141.192114,2245.519395,2440.645052,2663.837369,2901.012735,3152.695586,3345.814327,3205.175579,3018.271983,3014.010499,3060.411375,3121.613378,3264.537364,3362.647343,3499.053786,3547.550486,3577.52412,3547.630808,3632.450345,3734.964854,3897.292795,3868.896746,3943.897172,3861.790486,3729.800155,3570.352036,3471.931105,3406.232626,3489.681041,3569.447438,3587.045387,3702.822918,3848.118983,4037.053137,3972.630274,4355.934939,4479.398934,4394.543881,4699.493714,4861.287099,4944.191641,5089.61202,5272.57579,5396.480812
Peru,PER,3352.033562,3410.492538,3433.410794,3550.588506,3780.111033,3838.479853,3792.284325,3707.272801,3517.334068,3569.240252,3687.80074,3797.800325,3698.646768,3235.621907,3274.504562,3265.409399,3492.397284,3746.713409,3318.84377,2848.191175,2650.213975,2654.788675,2589.343113,2673.740734,2947.027033,3107.114356,3135.414596,3277.955736,3208.224499,3203.713757,3242.579157,3221.302547,3359.162687,3464.396878,3602.999725,3796.2034,4047.748036,4356.738965,4716.197262,4729.735977,5082.354757,5360.226632,5642.578115,5919.209568,5996.496965,6114.227214,6262.368905,6314.291438,6453.560525
